store_id,store_name,city,state,region,opening_date,store_size_sqft,manager_name,phone,email,status
1,Walmart Chennai Store 001,Chennai,Tamil Nadu,South,2017-11-20,76237,Manbir Mani,5284780643,store1@walmartdemo.com,Active
2,Walmart Bengaluru Store 002,Bengaluru,Karnataka,South,2013-01-18,78089,Bhavya Kale,+910253663768,store2@walmartdemo.com,Active
3,Walmart Delhi Store 003,Delhi,Delhi,North,2016-04-16,95463,Nihal Grewal,+916814650309,store3@walmartdemo.com,Active
4,Walmart Hyderabad Store 004,Hyderabad,Telangana,South,2011-07-28,38516,Jacob Narain,1213447661,store4@walmartdemo.com,Active
5,Walmart Chennai Store 005,Chennai,Tamil Nadu,South,2025-01-08,71518,Mitesh Buch,+918662087258,store5@walmartdemo.com,Active
6,Walmart Chennai Store 006,Chennai,Tamil Nadu,South,2023-04-20,72587,Krishna Baria,+914427390379,store6@walmartdemo.com,Active
7,Walmart Bengaluru Store 007,Bengaluru,Karnataka,South,2019-03-05,95784,Turvi Sehgal,+913222914252,store7@walmartdemo.com,Active
8,Walmart Kolkata Store 008,Kolkata,West Bengal,East,2021-12-22,61730,Jack Rajagopal,+910970500520,store8@walmartdemo.com,Active
9,Walmart Kolkata Store 009,Kolkata,West Bengal,East,2023-07-01,90521,Dev Jain,9942873519,store9@walmartdemo.com,Active
10,Walmart Chennai Store 010,Chennai,Tamil Nadu,South,2020-01-23,55409,Vamakshi Babu,08417729072,store10@walmartdemo.com,Active
11,Walmart Mumbai Store 011,Mumbai,Maharashtra,West,2020-01-26,38842,Tamanna Batra,00680514453,store11@walmartdemo.com,Active
12,Walmart Delhi Store 012,Delhi,Delhi,North,2013-11-23,70699,Praneel Khurana,+919621170647,store12@walmartdemo.com,Active
13,Walmart Bengaluru Store 013,Bengaluru,Karnataka,South,2012-08-12,59315,Harish Pillai,+910837541808,store13@walmartdemo.com,Active
14,Walmart Mumbai Store 014,Mumbai,Maharashtra,West,2025-04-27,58640,Jack Mahal,7434008767,store14@walmartdemo.com,Active
15,Walmart Hyderabad Store 015,Hyderabad,Telangana,South,2026-07-03,66150,Avi Bir,0720184721,store15@walmartdemo.com,Active
16,Walmart Chennai Store 016,Chennai,Tamil Nadu,South,2019-07-16,58983,Tanish Kanda,08432093609,store16@walmartdemo.com,Active
17,Walmart Delhi Store 017,Delhi,Delhi,North,2013-11-17,55760,Charvi Mani,+919445284098,store17@walmartdemo.com,Active
18,Walmart Chennai Store 018,Chennai,Tamil Nadu,South,2023-03-03,48081,Veer Mohanty,+918848431299,store18@walmartdemo.com,Active
19,Walmart Mumbai Store 019,Mumbai,Maharashtra,West,2012-04-06,53586,Ishwar Singhal,+914764255158,store19@walmartdemo.com,Active
20,Walmart Chennai Store 020,Chennai,Tamil Nadu,South,2024-02-26,30442,Ayush Zacharia,0163030432,store20@walmartdemo.com,Active
21,Walmart Delhi Store 021,Delhi,Delhi,North,2015-01-13,60481,Mekhala Mahajan,09530442542,store21@walmartdemo.com,Active
22,Walmart Bengaluru Store 022,Bengaluru,Karnataka,South,2017-07-26,96232,Onveer Chaudhary,+911677224198,store22@walmartdemo.com,Active
23,Walmart Hyderabad Store 023,Hyderabad,Telangana,South,2019-03-03,97638,Zehaan Gokhale,3797375018,store23@walmartdemo.com,Active
24,Walmart Hyderabad Store 024,Hyderabad,Telangana,South,2026-03-23,22765,Jeevika Dugal,07401881251,store24@walmartdemo.com,Active
25,Walmart Mumbai Store 025,Mumbai,Maharashtra,West,2022-08-29,63312,Ubika Solanki,03516262560,store25@walmartdemo.com,Active
26,Walmart Mumbai Store 026,Mumbai,Maharashtra,West,2014-01-24,52490,Garima Peri,05188745605,store26@walmartdemo.com,Active
27,Walmart Kolkata Store 027,Kolkata,West Bengal,East,2018-04-21,99401,Nisha Lalla,+915335693465,store27@walmartdemo.com,Active
28,Walmart Bengaluru Store 028,Bengaluru,Karnataka,South,2022-11-07,72788,Finn Uppal,07624463185,store28@walmartdemo.com,Active
29,Walmart Delhi Store 029,Delhi,Delhi,North,2024-02-21,99953,Andrew Kothari,+917767157132,store29@walmartdemo.com,Active
30,Walmart Chennai Store 030,Chennai,Tamil Nadu,South,2013-05-29,63374,Praneel Kaul,05146280449,store30@walmartdemo.com,Active
31,Walmart Bengaluru Store 031,Bengaluru,Karnataka,South,2025-08-14,63788,Neelima Agarwal,08975762292,store31@walmartdemo.com,Active
32,Walmart Mumbai Store 032,Mumbai,Maharashtra,West,2024-08-01,83153,Manbir Krishnan,+918117701776,store32@walmartdemo.com,Active
33,Walmart Delhi Store 033,Delhi,Delhi,North,2026-03-26,77970,Lekha Swamy,1715770398,store33@walmartdemo.com,Active
